list,order,item,audio,prime_description,target_description,boxPos,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,targetRC1,targetRC2,targetPC,targetCP,targetSP
1,1,p1,p1.mp3,the striped toothbrush that's blue,The chequered green fork,5,toothbrush_blue_chequered.png,toothbrush_blue_striped.png,toothbrushBlueLarge.png,toothbrushRedLarge.png,fork_green_chequered.png,fork_blue_chequered.png,forkGreenLarge.png,forkBlueLarge.png,chequered fork that's green,green fork that's chequered,chequered green fork,green chequered fork,the green fork on the bottom row
2,1,p1,p1.mp3,the striped toothbrush that's blue,The chequered green fork,5,toothbrush_blue_chequered.png,toothbrush_blue_striped.png,toothbrushBlueLarge.png,toothbrushRedLarge.png,fork_green_chequered.png,fork_blue_chequered.png,forkGreenLarge.png,forkBlueLarge.png,chequered fork that's green,green fork that's chequered,chequered green fork,green chequered fork,the green fork on the bottom row
3,1,p1,p1.mp3,the striped toothbrush that's blue,The chequered green fork,5,toothbrush_blue_chequered.png,toothbrush_blue_striped.png,toothbrushBlueLarge.png,toothbrushRedLarge.png,fork_green_chequered.png,fork_blue_chequered.png,forkGreenLarge.png,forkBlueLarge.png,chequered fork that's green,green fork that's chequered,chequered green fork,green chequered fork,the green fork on the bottom row
4,1,p1,p1.mp3,the striped toothbrush that's blue,The chequered green fork,5,toothbrush_blue_chequered.png,toothbrush_blue_striped.png,toothbrushBlueLarge.png,toothbrushRedLarge.png,fork_green_chequered.png,fork_blue_chequered.png,forkGreenLarge.png,forkBlueLarge.png,chequered fork that's green,green fork that's chequered,chequered green fork,green chequered fork,the green fork on the bottom row
1,2,p2,p2.mp3,the green saw that's spotted,The blue striped flag,2,sawGreyLarge.png,flag_blue_striped.png,flag_blue_spotted.png,sawBlueLarge.png,saw_green_striped.png,saw_green_spotted.png,flagGreyLarge.png,flagRedLarge.png,striped flag that's blue,blue flag that's striped,striped blue flag,blue striped flag,the blue flag on the top row
2,2,p2,p2.mp3,the green saw that's spotted,The blue striped flag,2,sawGreyLarge.png,flag_blue_striped.png,flag_blue_spotted.png,sawBlueLarge.png,saw_green_striped.png,saw_green_spotted.png,flagGreyLarge.png,flagRedLarge.png,striped flag that's blue,blue flag that's striped,striped blue flag,blue striped flag,the blue flag on the top row
3,2,p2,p2.mp3,the green saw that's spotted,The blue striped flag,2,sawGreyLarge.png,flag_blue_striped.png,flag_blue_spotted.png,sawBlueLarge.png,saw_green_striped.png,saw_green_spotted.png,flagGreyLarge.png,flagRedLarge.png,striped flag that's blue,blue flag that's striped,striped blue flag,blue striped flag,the blue flag on the top row
4,2,p2,p2.mp3,the green saw that's spotted,The blue striped flag,2,sawGreyLarge.png,flag_blue_striped.png,flag_blue_spotted.png,sawBlueLarge.png,saw_green_striped.png,saw_green_spotted.png,flagGreyLarge.png,flagRedLarge.png,striped flag that's blue,blue flag that's striped,striped blue flag,blue striped flag,the blue flag on the top row
